"","Event.Name","Permanent.Tournament.Number","Player.Name","Finish.Position.numeric.","Total.Strokes","Total.Rounds.","Scoring.Avg.Total.Adjustment.","Birdie_Or_Better","Total.Holes.Over.Par","TTL.SG.T2G","Total.Putts.Gained","Official.Event.Y.N."
"403","Puerto Rico Open at Coco Beach",19,"Coetzee, George",35,284,4,1.071,15,9,0,0,1
"417","Frys.com Open",1,"Compton, Erik",26,279,4,3.777,20,10,0.17,3.997,1
"418","Shriners Hospitals for Children Open",2,"Compton, Erik",99,152,2,1.944,3,10,-0.273,-6.045,1
"419","OHL Classic at Mayakoba",6,"Compton, Erik",46,279,4,3.848,17,12,0,0,1
"420","The RSM Classic",7,"Compton, Erik",99,146,2,1.603,4,7,-2.86,0.926,1
"421","Sony Open in Hawaii",9,"Compton, Erik",99,138,2,2.701,6,3,0.605,-0.409,1
"422","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Compton, Erik",99,218,3,6.617,12,10,-1.943,0.796,1
"423","Farmers Insurance Open",11,"Compton, Erik",31,292,4,-7.49,14,16,0.756,0.078,1
"424","Northern Trust Open",14,"Compton, Erik",99,150,2,-0.318,4,12,-0.705,-5.114,1
"425","The Honda Classic",15,"Compton, Erik",51,285,4,-6.686,12,15,0.104,-3.055,1
"426","Valspar Championship",17,"Compton, Erik",99,147,2,-3.871,3,7,-0.494,-0.142,1
"427","Puerto Rico Open at Coco Beach",19,"Compton, Erik",39,285,4,1.071,14,11,0,0,1
"428","Shell Houston Open",21,"Compton, Erik",57,288,4,0.248,16,13,-0.349,4.383,1
"434","Northern Trust Open",14,"Couples, Fred",99,146,2,-0.318,5,8,-1.111,-2.994,1
"448","Frys.com Open",1,"Curran, Jon",99,143,2,1.413,6,5,-0.333,-2.07,1
"449","Shriners Hospitals for Children Open",2,"Curran, Jon",99,144,2,1.944,7,9,-1.168,1.854,1
"450","CIMB Classic",3,"Curran, Jon",53,282,4,9.523,15,8,0,0,1
"451","OHL Classic at Mayakoba",6,"Curran, Jon",29,276,4,3.848,17,9,0,0,1
"452","The RSM Classic",7,"Curran, Jon",4,269,4,3.481,21,6,-0.653,7.428,1
"453","Sony Open in Hawaii",9,"Curran, Jon",99,140,2,2.701,7,7,-1.493,-1.386,1
"454","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Curran, Jon",99,209,3,7.576,12,4,-1.935,2.734,1
"455","Waste Management Phoenix Open",12,"Curran, Jon",11,276,4,0.093,16,8,0.188,4.201,1
"456","AT&T Pebble Beach Pro-Am",13,"Curran, Jon",99,216,3,-1.829,7,8,-1.178,1.462,1
"457","Northern Trust Open",14,"Curran, Jon",26,279,4,0.115,12,7,-0.483,3.185,1
"458","The Honda Classic",15,"Curran, Jon",99,150,2,-3.981,6,13,-1.621,-1.34,1
"459","Valspar Championship",17,"Curran, Jon",99,150,2,-3.871,5,10,-0.947,-0.618,1
"460","Arnold Palmer Invitational presented by MasterCard",18,"Curran, Jon",63,289,4,2.149,10,9,-0.369,-1.697,1
"461","Puerto Rico Open at Coco Beach",19,"Curran, Jon",99,147,2,0.299,3,6,0,0,1
"462","Shell Houston Open",21,"Curran, Jon",70,294,4,0.248,15,17,-0.777,1.863,1
"466","Sanderson Farms Championship",4,"Davis, Brian",28,278,4,5.957,15,6,-0.383,-1.09,1
"467","The RSM Classic",7,"Davis, Brian",99,141,2,1.532,6,4,-0.404,-0.677,1
"468","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Davis, Brian",99,212,3,6.617,14,8,-0.389,-0.237,1
"469","Farmers Insurance Open",11,"Davis, Brian",99,147,2,-0.577,4,7,-0.037,-2.463,1
"470","AT&T Pebble Beach Pro-Am",13,"Davis, Brian",99,219,3,-1.829,9,12,-0.1,-0.199,1
"471","Puerto Rico Open at Coco Beach",19,"Davis, Brian",99,145,2,0.299,6,7,0,0,1
"474","Hyundai Tournament of Champions",8,"Day, Jason",10,277,4,12.77,23,8,0.312,4.183,1
"475","Farmers Insurance Open",11,"Day, Jason",99,146,2,-0.577,5,7,-0.143,0.367,1
"476","AT&T Pebble Beach Pro-Am",13,"Day, Jason",11,278,4,-0.722,17,9,-0.067,0.072,1
"477","World Golf Championships-Cadillac Championship",16,"Day, Jason",23,288,4,-3.421,14,14,-0.502,4.395,1
"478","Arnold Palmer Invitational presented by MasterCard",18,"Day, Jason",1,271,4,2.149,24,7,0.801,5.523,1
"479","Masters Tournament",22,"Day, Jason",10,289,4,-9.531,14,14,0,0,1
"480","Frys.com Open",1,"de Jonge, Brendon",99,143,2,1.413,6,5,-0.379,-0.37,1
"481","Shriners Hospitals for Children Open",2,"de Jonge, Brendon",13,273,4,3.683,19,8,0.512,6.763,1
"482","CIMB Classic",3,"de Jonge, Brendon",27,276,4,9.523,18,6,0,0,1
"483","OHL Classic at Mayakoba",6,"de Jonge, Brendon",58,281,4,3.848,10,7,0,0,1
"484","The RSM Classic",7,"de Jonge, Brendon",33,275,4,3.552,12,6,0.496,-2.125,1
"485","Sony Open in Hawaii",9,"de Jonge, Brendon",33,270,4,6.264,16,6,0.229,1.226,1
"486","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"de Jonge, Brendon",99,214,3,6.847,12,9,0.635,-0.469,1
"487","Farmers Insurance Open",11,"de Jonge, Brendon",99,150,2,-0.322,5,10,-0.182,-0.055,1
"488","Waste Management Phoenix Open",12,"de Jonge, Brendon",51,284,4,0.093,12,10,-0.448,-3.329,1
"489","Northern Trust Open",14,"de Jonge, Brendon",99,148,2,-0.318,5,10,-0.988,-2.296,1
"490","The Honda Classic",15,"de Jonge, Brendon",99,145,2,-3.981,5,10,0.652,-1.399,1
"491","Valspar Championship",17,"de Jonge, Brendon",99,150,2,-3.871,3,9,0.394,-1.822,1
"492","Arnold Palmer Invitational presented by MasterCard",18,"de Jonge, Brendon",99,146,2,0.886,4,6,-0.002,0.153,1
"493","Puerto Rico Open at Coco Beach",19,"de Jonge, Brendon",60,289,4,1.071,10,9,0,0,1
"494","Shell Houston Open",21,"de Jonge, Brendon",99,149,2,0.431,7,8,-0.368,-1.459,1
"495","Arnold Palmer Invitational presented by MasterCard",18,"DeChambeau, Bryson",27,282,4,2.149,18,13,0.63,4.572,1
"496","Masters Tournament",22,"DeChambeau, Bryson",21,293,4,-9.531,13,14,0,0,1
"514","CIMB Classic",3,"Dodt, Andrew",56,283,4,9.523,20,13,0,0,1
"515","World Golf Championships-HSBC Champions",5,"Dodt, Andrew",68,292,4,5.684,15,17,0,0,1
"516","CIMB Classic",3,"Donald, Luke",64,285,4,9.523,15,10,0,0,1
"517","World Golf Championships-HSBC Champions",5,"Donald, Luke",40,282,4,5.684,11,5,0,0,1
"518","Sony Open in Hawaii",9,"Donald, Luke",28,269,4,6.264,18,8,-0.948,2.179,1
"519","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Donald, Luke",99,210,3,6.847,15,9,-0.177,-0.806,1
"520","AT&T Pebble Beach Pro-Am",13,"Donald, Luke",26,281,4,-0.722,15,8,-1.325,1.608,1
"521","Northern Trust Open",14,"Donald, Luke",45,282,4,0.115,11,9,-0.358,-1.481,1
"522","The Honda Classic",15,"Donald, Luke",61,287,4,-6.686,11,15,-0.248,-3.995,1
"523","Valspar Championship",17,"Donald, Luke",22,285,4,-5.818,9,10,0.094,2.684,1
"524","Arnold Palmer Invitational presented by MasterCard",18,"Donald, Luke",99,147,2,0.886,5,6,-0.793,-1.879,1
"525","Puerto Rico Open at Coco Beach",19,"Donald, Luke",26,283,4,1.071,12,7,0,0,1
"526","Northern Trust Open",14,"Donaldson, Jamie",54,284,4,0.115,13,13,0.086,1.111,1
"527","The Honda Classic",15,"Donaldson, Jamie",26,282,4,-6.686,9,12,-0.868,9.253,1
"528","World Golf Championships-Cadillac Championship",16,"Donaldson, Jamie",35,292,4,-3.421,13,15,-0.327,3.064,1
"529","Shell Houston Open",21,"Donaldson, Jamie",19,282,4,0.248,17,11,-0.176,4,1
"530","Masters Tournament",22,"Donaldson, Jamie",21,293,4,-9.531,13,16,0,0,1
"534","World Golf Championships-Cadillac Championship",16,"Dubuisson, Victor",52,297,4,-3.421,5,11,-0.308,-5.809,1
"535","Masters Tournament",22,"Dubuisson, Victor",42,299,4,-9.531,12,20,0,0,1
"536","Shriners Hospitals for Children Open",2,"Dufner, Jason",99,141,2,1.944,8,7,-1.16,-1.964,1
"537","CIMB Classic",3,"Dufner, Jason",35,278,4,9.523,18,8,0,0,1
"538","OHL Classic at Mayakoba",6,"Dufner, Jason",40,278,4,3.848,19,11,0,0,1
"539","The RSM Classic",7,"Dufner, Jason",9,272,4,3.552,14,5,0.873,-0.91,1
"540","Sony Open in Hawaii",9,"Dufner, Jason",9,267,4,6.264,24,10,0.593,-1.861,1
"541","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Dufner, Jason",1,263,4,8.96,30,5,0.299,2.954,1
"542","Waste Management Phoenix Open",12,"Dufner, Jason",99,145,2,-0.315,5,7,0.377,-1.578,1
"543","AT&T Pebble Beach Pro-Am",13,"Dufner, Jason",51,286,4,-0.32,15,12,0.916,-3.994,1
"544","Northern Trust Open",14,"Dufner, Jason",68,288,4,0.115,12,17,0.186,-6.844,1
"545","The Honda Classic",15,"Dufner, Jason",61,287,4,-6.686,12,17,0.484,-3.571,1
"546","World Golf Championships-Cadillac Championship",16,"Dufner, Jason",11,285,4,-3.421,20,16,0.652,6.077,1
"547","Valspar Championship",17,"Dufner, Jason",22,285,4,-5.818,9,10,0.62,2.109,1
"548","Masters Tournament",22,"Dufner, Jason",99,153,2,-5.112,6,11,0,0,1
"556","Farmers Insurance Open",11,"Dunne, Paul",13,288,4,-7.49,13,14,-0.368,5.486,1
"557","Waste Management Phoenix Open",12,"Dunne, Paul",99,143,2,-0.315,4,5,0.65,-1.055,1
"558","AT&T Pebble Beach Pro-Am",13,"Dunne, Paul",99,219,3,-0.175,10,14,0.103,0.574,1
"561","CIMB Classic",3,"Els, Ernie",64,285,4,9.523,15,12,0,0,1
"562","Northern Trust Open",14,"Els, Ernie",26,279,4,0.115,18,13,-0.109,2.608,1
"563","The Honda Classic",15,"Els, Ernie",70,289,4,-6.686,11,17,-0.247,0.337,1
"564","Valspar Championship",17,"Els, Ernie",99,152,2,-3.871,4,11,0.646,-1.762,1
"565","Arnold Palmer Invitational presented by MasterCard",18,"Els, Ernie",74,294,4,2.149,15,17,-0.207,-1.839,1
"566","Shell Houston Open",21,"Els, Ernie",38,285,4,0.248,13,9,0.218,1.368,1
"567","Masters Tournament",22,"Els, Ernie",99,153,2,-5.112,6,9,0,0,1
"568","OHL Classic at Mayakoba",6,"Elvira, Nacho",99,141,2,2.043,7,6,0,0,1
"569","CIMB Classic",3,"English, Harris",43,280,4,9.523,20,9,0,0,1
"570","World Golf Championships-HSBC Champions",5,"English, Harris",23,278,4,5.684,16,5,0,0,1
"571","OHL Classic at Mayakoba",6,"English, Harris",99,143,2,2.043,9,8,0,0,1
"572","The RSM Classic",7,"English, Harris",25,274,4,3.552,16,8,-1.366,5.903,1
"573","Sony Open in Hawaii",9,"English, Harris",56,273,4,6.264,17,11,0.807,-7.406,1
"574","Farmers Insurance Open",11,"English, Harris",31,292,4,-7.745,8,13,-1.734,1.398,1
"575","Waste Management Phoenix Open",12,"English, Harris",3,272,4,0.093,20,8,-0.149,4.378,1
"576","Northern Trust Open",14,"English, Harris",39,281,4,0.115,13,10,0.127,3.907,1
"577","World Golf Championships-Cadillac Championship",16,"English, Harris",10,284,4,-3.421,14,9,0.808,3.03,1
"578","Valspar Championship",17,"English, Harris",99,147,2,-3.871,3,8,0.566,0.37,1
"579","Arnold Palmer Invitational presented by MasterCard",18,"English, Harris",99,145,2,0.886,9,8,-0.783,3.252,1
"580","Shell Houston Open",21,"English, Harris",57,288,4,0.248,18,15,-0.514,-1.891,1
"581","Masters Tournament",22,"English, Harris",42,299,4,-9.531,11,21,0,0,1
"592","Frys.com Open",1,"Every, Matt",99,76,1,1.256,2,6,-1.103,-2.566,1
"593","CIMB Classic",3,"Every, Matt",72,289,4,9.523,15,15,0,0,1
"594","Hyundai Tournament of Champions",8,"Every, Matt",28,287,4,12.77,19,9,-0.649,2.414,1
"595","Farmers Insurance Open",11,"Every, Matt",99,144,2,-0.577,7,7,0.3,0.651,1
"596","Waste Management Phoenix Open",12,"Every, Matt",24,279,4,0.093,14,9,-0.363,2.464,1
"597","Northern Trust Open",14,"Every, Matt",99,145,2,-0.318,9,10,-0.115,-2.328,1
"598","The Honda Classic",15,"Every, Matt",99,154,2,-3.981,5,14,-2.806,-3.61,1
"599","Valspar Championship",17,"Every, Matt",42,288,4,-5.818,12,13,-0.124,1.547,1
"600","Arnold Palmer Invitational presented by MasterCard",18,"Every, Matt",99,145,2,0.886,6,5,-0.475,-0.044,1
"601","Shell Houston Open",21,"Every, Matt",80,224,3,0.035,9,12,-0.628,-6.419,1
"602","Frys.com Open",1,"Fathauer, Derek",99,143,2,1.413,5,4,-0.069,1.316,1
"603","Shriners Hospitals for Children Open",2,"Fathauer, Derek",99,143,2,1.944,7,7,-1.014,-2.535,1
"604","Sanderson Farms Championship",4,"Fathauer, Derek",50,281,4,5.957,14,7,-0.49,4.084,1
"605","OHL Classic at Mayakoba",6,"Fathauer, Derek",4,268,4,3.848,21,5,0,0,1
"606","The RSM Classic",7,"Fathauer, Derek",70,281,4,3.552,12,10,0.233,-4.535,1
"607","Sony Open in Hawaii",9,"Fathauer, Derek",79,208,3,4.333,13,9,0.053,2.146,1
"608","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Fathauer, Derek",99,210,3,7.576,12,5,0.835,0.836,1
"609","Farmers Insurance Open",11,"Fathauer, Derek",31,292,4,-7.49,17,20,0.24,3.073,1
"610","AT&T Pebble Beach Pro-Am",13,"Fathauer, Derek",51,286,4,-1.974,12,10,-2.103,0.68,1
"611","Northern Trust Open",14,"Fathauer, Derek",54,284,4,0.115,16,14,0.114,-1.341,1
"612","The Honda Classic",15,"Fathauer, Derek",26,282,4,-6.686,12,13,-1.197,6.42,1
"613","Valspar Championship",17,"Fathauer, Derek",99,148,2,-3.871,7,9,0.937,2.252,1
"614","Arnold Palmer Invitational presented by MasterCard",18,"Fathauer, Derek",12,279,4,2.149,18,8,-0.061,4.995,1
"615","Puerto Rico Open at Coco Beach",19,"Fathauer, Derek",21,282,4,1.071,17,11,0,0,1
"616","Shell Houston Open",21,"Fathauer, Derek",72,218,3,0.035,11,11,-0.384,2.152,1
"621","Frys.com Open",1,"Finau, Tony",32,281,4,3.777,18,10,0.022,2.457,1
"622","Shriners Hospitals for Children Open",2,"Finau, Tony",16,274,4,3.683,17,8,-0.692,2.063,1
"623","CIMB Classic",3,"Finau, Tony",9,270,4,9.523,21,4,0,0,1
"624","Sony Open in Hawaii",9,"Finau, Tony",64,274,4,6.264,16,9,0.348,-1.684,1
"625","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Finau, Tony",99,208,3,6.847,14,7,0.064,-0.283,1
"626","Farmers Insurance Open",11,"Finau, Tony",18,290,4,-7.49,13,15,1.419,0.293,1
"627","Waste Management Phoenix Open",12,"Finau, Tony",99,145,2,-0.315,3,7,0.574,-1.722,1
"628","Northern Trust Open",14,"Finau, Tony",99,148,2,-0.318,3,9,0.461,-3.919,1
"629","The Honda Classic",15,"Finau, Tony",99,149,2,-3.981,4,10,-0.183,-0.318,1
"630","Valspar Championship",17,"Finau, Tony",99,146,2,-3.871,4,8,1.171,-5.291,1
"631","Arnold Palmer Invitational presented by MasterCard",18,"Finau, Tony",43,284,4,2.149,20,15,-0.157,2.642,1
"632","Puerto Rico Open at Coco Beach",19,"Finau, Tony",1,276,4,1.071,15,3,0,0,1
"633","Shell Houston Open",21,"Finau, Tony",99,144,2,0.431,7,4,-0.704,1.835,1
"634","World Golf Championships-HSBC Champions",5,"Fisher Jr, Trevor",58,288,4,5.684,15,10,0,0,1
"635","World Golf Championships-HSBC Champions",5,"Fisher, Ross",3,271,4,5.684,21,5,0,0,1
"636","World Golf Championships-Cadillac Championship",16,"Fisher, Ross",42,294,4,-3.421,10,14,0.709,-5.304,1
"637","World Golf Championships-HSBC Champions",5,"Fitzpatrick, Matthew",7,273,4,5.684,22,6,0,0,1
"638","The Honda Classic",15,"Fitzpatrick, Matthew",99,144,2,-3.981,7,9,-1.305,1.058,1
"639","World Golf Championships-Cadillac Championship",16,"Fitzpatrick, Matthew",35,292,4,-3.421,12,17,-0.877,-1.377,1
"640","Arnold Palmer Invitational presented by MasterCard",18,"Fitzpatrick, Matthew",27,282,4,2.149,15,9,0.424,4.924,1
"641","Masters Tournament",22,"Fitzpatrick, Matthew",7,288,4,-9.531,11,11,0,0,1
"642","World Golf Championships-HSBC Champions",5,"Fleetwood, Tommy",30,280,4,5.684,16,9,0,0,1
"655","World Golf Championships-Cadillac Championship",16,"Fraser, Marcus",60,302,4,-3.421,13,23,-2.238,1.855,1
"665","CIMB Classic",3,"Garcia, Sergio",24,275,4,9.523,20,8,0,0,1
"666","World Golf Championships-HSBC Champions",5,"Garcia, Sergio",11,274,4,5.684,19,5,0,0,1
"667","Northern Trust Open",14,"Garcia, Sergio",99,146,2,-0.318,7,9,0.161,-2.655,1
"668","The Honda Classic",15,"Garcia, Sergio",2,272,4,-6.686,15,8,0.996,1.37,1
"669","World Golf Championships-Cadillac Championship",16,"Garcia, Sergio",11,285,4,-3.421,14,10,0.892,-1.32,1
"670","Shell Houston Open",21,"Garcia, Sergio",72,218,3,0.035,9,9,0.434,-5.506,1
"671","Masters Tournament",22,"Garcia, Sergio",34,296,4,-9.531,14,19,0,0,1
"710","Frys.com Open",1,"Glover, Lucas",17,278,4,3.777,17,6,0.865,2.678,1
"711","Shriners Hospitals for Children Open",2,"Glover, Lucas",99,144,2,1.944,6,5,-0.692,1.526,1
"712","Sanderson Farms Championship",4,"Glover, Lucas",39,280,4,5.957,14,5,0.401,-0.375,1
"713","The RSM Classic",7,"Glover, Lucas",9,272,4,3.481,18,8,0.705,0.401,1
"714","Sony Open in Hawaii",9,"Glover, Lucas",50,272,4,6.264,16,8,0.427,2.55,1
"715","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Glover, Lucas",17,272,4,8.96,23,7,0.704,-3.265,1
"716","Farmers Insurance Open",11,"Glover, Lucas",99,144,2,-0.322,6,5,0.749,-1.951,1
"717","AT&T Pebble Beach Pro-Am",13,"Glover, Lucas",11,278,4,-1.974,17,7,0.301,0.986,1
"718","Northern Trust Open",14,"Glover, Lucas",99,143,2,-0.318,7,9,0.947,-2.526,1
"719","The Honda Classic",15,"Glover, Lucas",99,144,2,-3.981,6,9,0.521,-2.967,1
"720","Valspar Championship",17,"Glover, Lucas",99,149,2,-3.871,2,8,1.327,-1.02,1
"721","Arnold Palmer Invitational presented by MasterCard",18,"Glover, Lucas",27,282,4,2.149,18,8,0.259,-2.287,1
"722","Shell Houston Open",21,"Glover, Lucas",57,288,4,0.248,14,12,0.705,-3.347,1
"723","Frys.com Open",1,"Gomez, Fabian",17,278,4,3.777,16,6,0.331,-1.988,1
"724","Shriners Hospitals for Children Open",2,"Gomez, Fabian",16,274,4,3.683,19,8,0.03,1.793,1
"725","The RSM Classic",7,"Gomez, Fabian",44,276,4,3.481,8,4,0.288,-1.792,1
"726","Hyundai Tournament of Champions",8,"Gomez, Fabian",6,275,4,12.77,21,3,0.604,-1.985,1
"727","Sony Open in Hawaii",9,"Gomez, Fabian",1,260,4,6.264,26,7,-0.18,5.618,1
"728","Farmers Insurance Open",11,"Gomez, Fabian",99,144,2,-0.322,7,7,0.06,-2.042,1
"729","Waste Management Phoenix Open",12,"Gomez, Fabian",99,146,2,-0.315,7,9,0.492,-3.177,1
"730","Northern Trust Open",14,"Gomez, Fabian",45,282,4,0.115,14,11,-0.554,7.424,1
"731","The Honda Classic",15,"Gomez, Fabian",99,147,2,-3.981,6,9,-0.47,-2.731,1
"732","World Golf Championships-Cadillac Championship",16,"Gomez, Fabian",58,300,4,-3.421,9,16,0.007,-1.29,1
"733","Arnold Palmer Invitational presented by MasterCard",18,"Gomez, Fabian",99,148,2,0.886,5,9,-0.293,-3.999,1
"734","Masters Tournament",22,"Gomez, Fabian",99,157,2,-5.112,2,15,0,0,1
"748","Farmers Insurance Open",11,"Goosen, Retief",99,147,2,-0.577,4,7,-1.151,-0.675,1
"749","Waste Management Phoenix Open",12,"Goosen, Retief",51,284,4,0.093,15,13,-0.039,1.173,1
"750","Northern Trust Open",14,"Goosen, Retief",45,282,4,0.115,13,11,-0.817,2.262,1
"751","The Honda Classic",15,"Goosen, Retief",43,284,4,-6.686,9,11,-0.864,5.07,1
"752","Valspar Championship",17,"Goosen, Retief",11,283,4,-5.818,12,10,0.423,3.361,1
"753","Arnold Palmer Invitational presented by MasterCard",18,"Goosen, Retief",46,285,4,2.149,16,12,-0.718,1.123,1
"754","Puerto Rico Open at Coco Beach",19,"Goosen, Retief",21,282,4,1.071,17,9,0,0,1
"755","Shell Houston Open",21,"Goosen, Retief",66,290,4,0.248,10,9,-0.095,-3.192,1
"756","Frys.com Open",1,"Gore, Jason",73,291,4,3.777,14,16,0.333,-6.464,1
"757","CIMB Classic",3,"Gore, Jason",37,279,4,9.523,19,8,0,0,1
"758","OHL Classic at Mayakoba",6,"Gore, Jason",51,280,4,3.848,14,8,0,0,1
"759","The RSM Classic",7,"Gore, Jason",63,279,4,3.481,12,7,0.939,-3.752,1
"760","Sony Open in Hawaii",9,"Gore, Jason",70,276,4,6.264,18,11,-0.39,2.894,1
"761","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Gore, Jason",17,272,4,8.231,25,7,0.195,3.61,1
"762","Farmers Insurance Open",11,"Gore, Jason",31,292,4,-7.49,11,15,0.838,3.484,1
"763","AT&T Pebble Beach Pro-Am",13,"Gore, Jason",51,286,4,-0.32,16,12,-0.276,0.516,1
"764","Northern Trust Open",14,"Gore, Jason",99,76,1,-0.415,3,7,-1.323,-0.5,1
"765","Valspar Championship",17,"Gore, Jason",11,283,4,-5.818,14,13,-0.155,-1.119,1
"766","Shell Houston Open",21,"Gore, Jason",99,147,2,0.431,7,6,-0.557,2.244,1
"767","Arnold Palmer Invitational presented by MasterCard",18,"Gouveia, Ricardo",99,147,2,0.886,4,7,0.113,0.019,1
"768","CIMB Classic",3,"Grace, Branden",17,273,4,9.523,20,6,0,0,1
"769","World Golf Championships-HSBC Champions",5,"Grace, Branden",5,272,4,5.684,24,9,0,0,1
"770","The Honda Classic",15,"Grace, Branden",99,147,2,-3.981,5,8,1.411,-4.16,1
"771","World Golf Championships-Cadillac Championship",16,"Grace, Branden",23,288,4,-3.421,13,12,0.073,3.828,1
"772","Valspar Championship",17,"Grace, Branden",37,287,4,-5.818,7,10,0.088,-2.06,1
"773","Masters Tournament",22,"Grace, Branden",99,152,2,-5.112,3,7,0,0,1
"774","Frys.com Open",1,"Grillo, Emiliano",1,273,4,3.777,19,5,0.494,-1.488,1
"775","Shriners Hospitals for Children Open",2,"Grillo, Emiliano",99,144,2,1.944,6,7,0.509,0.536,1
"776","World Golf Championships-HSBC Champions",5,"Grillo, Emiliano",35,281,4,5.684,18,10,0,0,1
"777","Hyundai Tournament of Champions",8,"Grillo, Emiliano",18,280,4,12.77,21,8,0.16,0.193,1
"778","Sony Open in Hawaii",9,"Grillo, Emiliano",33,270,4,6.264,21,10,0.38,-0.241,1
"779","Farmers Insurance Open",11,"Grillo, Emiliano",99,147,2,-0.322,4,6,0.388,0.905,1
"780","Waste Management Phoenix Open",12,"Grillo, Emiliano",45,283,4,0.093,16,14,0.374,-1.392,1
"781","The Honda Classic",15,"Grillo, Emiliano",74,292,4,-6.686,13,21,0.918,-6.12,1
"782","World Golf Championships-Cadillac Championship",16,"Grillo, Emiliano",47,295,4,-3.421,12,16,-0.203,-0.979,1
"783","Arnold Palmer Invitational presented by MasterCard",18,"Grillo, Emiliano",17,280,4,2.149,15,7,0.907,0.971,1
"784","Masters Tournament",22,"Grillo, Emiliano",17,292,4,-9.531,19,21,0,0,1
"794","The RSM Classic",7,"Haas, Bill",33,275,4,3.481,12,6,0.563,0.211,1
"795","Hyundai Tournament of Champions",8,"Haas, Bill",18,280,4,12.77,17,5,0.432,-1.638,1
"796","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Haas, Bill",9,269,4,8.231,21,4,0.482,3.31,1
"797","Farmers Insurance Open",11,"Haas, Bill",99,146,2,-0.577,8,9,0.241,-1.873,1
"798","AT&T Pebble Beach Pro-Am",13,"Haas, Bill",8,277,4,-0.722,16,6,0.476,3.984,1
"799","Northern Trust Open",14,"Haas, Bill",99,143,2,-0.318,6,7,-0.034,-1.315,1
"800","World Golf Championships-Cadillac Championship",16,"Haas, Bill",49,296,4,-3.421,12,17,-1.475,-6.089,1
"801","Valspar Championship",17,"Haas, Bill",2,277,4,-5.818,15,8,0.415,5.376,1
"802","Masters Tournament",22,"Haas, Bill",24,294,4,-9.531,11,17,0,0,1
"803","Frys.com Open",1,"Hadley, Chesson",99,147,2,1.413,6,6,-0.741,2.309,1
"804","Shriners Hospitals for Children Open",2,"Hadley, Chesson",62,282,4,3.683,16,14,0.262,-2.479,1
"805","CIMB Classic",3,"Hadley, Chesson",68,286,4,9.523,15,12,0,0,1
"806","The RSM Classic",7,"Hadley, Chesson",99,141,2,1.532,6,5,0.579,-1.621,1
"807","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Hadley, Chesson",99,211,3,7.576,14,7,-0.276,1.614,1
"808","Farmers Insurance Open",11,"Hadley, Chesson",58,295,4,-7.49,12,16,0.187,2.161,1
"809","Waste Management Phoenix Open",12,"Hadley, Chesson",60,287,4,0.093,13,14,-0.676,-0.313,1
"810","AT&T Pebble Beach Pro-Am",13,"Hadley, Chesson",99,218,3,-0.175,8,10,-0.695,-1.425,1
"811","The Honda Classic",15,"Hadley, Chesson",21,281,4,-6.686,16,16,-0.22,4.296,1
"812","Valspar Championship",17,"Hadley, Chesson",69,294,4,-5.818,8,17,-0.374,-1.191,1
"813","Puerto Rico Open at Coco Beach",19,"Hadley, Chesson",99,144,2,0.299,9,9,0,0,1
"814","Shell Houston Open",21,"Hadley, Chesson",38,285,4,0.248,10,6,0.897,-1.444,1
"815","Frys.com Open",1,"Hadwin, Adam",41,282,4,3.777,14,9,-0.12,2.161,1
"816","Shriners Hospitals for Children Open",2,"Hadwin, Adam",99,142,2,1.944,6,6,-0.507,2.778,1
"817","Sanderson Farms Championship",4,"Hadwin, Adam",28,278,4,5.957,17,7,0.345,3.806,1
"818","OHL Classic at Mayakoba",6,"Hadwin, Adam",99,146,2,2.043,7,10,0,0,1
"819","Sony Open in Hawaii",9,"Hadwin, Adam",67,275,4,6.264,18,13,0.733,2.506,1
"820","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Hadwin, Adam",6,268,4,8.001,25,6,0.833,2.682,1
"821","Farmers Insurance Open",11,"Hadwin, Adam",63,297,4,-7.745,8,16,-0.122,3.47,1
"822","Waste Management Phoenix Open",12,"Hadwin, Adam",17,278,4,0.093,15,9,0.831,4.186,1
"823","Northern Trust Open",14,"Hadwin, Adam",16,277,4,0.115,19,11,0.506,4.038,1
"824","The Honda Classic",15,"Hadwin, Adam",99,145,2,-3.981,7,7,-0.146,1.812,1
"825","Valspar Championship",17,"Hadwin, Adam",99,148,2,-3.871,5,8,-0.269,0.521,1
"826","Arnold Palmer Invitational presented by MasterCard",18,"Hadwin, Adam",36,283,4,2.149,14,8,0.23,1.663,1
"827","Shell Houston Open",21,"Hadwin, Adam",99,148,2,0.431,5,7,0.234,-0.813,1
"830","Frys.com Open",1,"Hahn, James",41,282,4,3.777,19,13,0.568,-0.006,1
"831","CIMB Classic",3,"Hahn, James",6,267,4,9.523,24,4,0,0,1
